G,10,2,60,
C,11,5,64,
F,11,3,-1,
F,11,3,60,
F,11,3,65,
F,11,2,65,
F,11,2,64,
G,12,4,62,
G,12,3,62,
G,12,3,60,
G,12,4,60,
G,12,2,55,
G,12,3,53,
G,12,2,53,
C,13,4,52,
C,13,4,55,
F,13,3,65,
F,13,2,65,
F,13,2,69,
F,13,3,69,
F,13,3,67,
G,14,3,-1,
G,14,4,62,
G,14,3,62,
C,14,3,62,
C,14,3,55,
C,14,3,64,
C,14,2,64,
C,14,2,60,
C,15,5,64,
F,15,3,64,
F,15,3,60,
F,15,3,65,
F,15,2,65,
F,15,2,64,
G,16,4,62,
G,16,2,62,
G,16,3,60,
G,16,2,60,
G,16,3,60,
G,16,3,55,
G,16,2,55,
G,16,3,53,
G,16,2,53,
C,1,4,-1,HAVE U EVER SEE RAIN
C,1,3,55,
C,1,3,57,
C,1,4,60,
C,1,3,57,
C,1,3,64,
C,2,4,64,
C,2,3,60,
C,2,3,60,
C,2,5,60,
C,3,4,-1,
C,3,3,55,
C,3,3,57,
C,3,4,60,
C,3,3,57,
C,3,3,64,
C,4,4,64,
C,4,3,60,
C,4,3,60,
C,4,4,60,
C,4,3,67,
C,4,3,67,
G,5,5,67,
G,5,4,67,
G,5,4,-1,
G,6,3,67,
G,6,4,67,
G,6,3,67,
G,6,3,67,
G,6,4,65,
G,6,3,65,
C,7,3,65,
C,7,4,64,
C,7,3,64,
C,7,5,64,
C,8,6,-1,
C,9,4,-1,
C,9,3,55,
C,9,3,57,
C,9,4,60,
C,9,3,57,
C,9,3,64,
C,10,4,64,
C,10,3,60,
C,10,3,60,
C,10,5,60,
C,11,4,-1,
C,11,3,55,
C,11,3,57,
C,11,4,60,
C,11,3,57,
C,11,3,64,
C,12,4,64,
C,12,3,60,
C,12,3,60,
C,12,4,60,
C,12,3,67,
C,12,3,67,
G,13,5,67,
G,13,4,67,
G,13,4,-1,
G,14,3,67,
G,14,4,67,
G,14,3,67,
G,14,3,67,
G,14,4,65,
